date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:55	14034/14034	---M--	200	added ('OK')	text/html	etag:%22583a58a5bb6ca44d36539cce225a7b1d-ssl%22	https://master--andrewstech.netlify.app/	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/index.html	(from )
16:22:55	1408/1408	---MCZ	404	error ('Not%20Found')	text/html	etag:1628205546-ssl-df	https://master--andrewstech.netlify.app/robots.txt		(from )
16:22:55	164808/164808	---M--	200	added ('OK')	text/javascript	etag:8392643513642254564	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/andrewstech/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://master--andrewstech.netlify.app/)
16:22:55	19068/19068	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2011%20Apr%202023%2015:15:59%20GMT	https://cdn.ywxi.net/js/1.js	C:/My%20Web%20Sites/andrewstech/cdn.ywxi.net/js/1.js	(from https://master--andrewstech.netlify.app/)
16:22:56	13853/13853	---MCZ	200	added ('OK')	text/css	etag:%229966b05072e34239ee0443107fd9da21-ssl-df%22	https://master--andrewstech.netlify.app/css/main.css	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/css/main.css	(from https://master--andrewstech.netlify.app/)
16:22:56	13244/13244	---M--	200	added ('OK')	image/png	etag:%22732e7e6fd705c74077b4736302e6935f-ssl%22	https://master--andrewstech.netlify.app/images/%5BOriginal%20size%5D%20AT.png	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/images/[Original%20size]%20AT.png	(from https://master--andrewstech.netlify.app/)
16:22:57	2205/2205	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%228d5579cee8f7887476eee806f2bd1e11-ssl-df%22	https://master--andrewstech.netlify.app/blog	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/blog.4.delayed	(from https://master--andrewstech.netlify.app/)
16:22:57	11400/11400	---MCZ	200	added ('OK')	text/html	etag:%228d5579cee8f7887476eee806f2bd1e11-ssl-df%22	https://master--andrewstech.netlify.app/blog/	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/blog/index.html	(from https://master--andrewstech.netlify.app/)
16:22:57	2316/2316	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22e68384442d0d956a6465160aba540328-ssl-df%22	https://master--andrewstech.netlify.app/about	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/about.5.delayed	(from https://master--andrewstech.netlify.app/)
16:22:57	10571/10571	---MCZ	200	added ('OK')	text/html	etag:%22e68384442d0d956a6465160aba540328-ssl-df%22	https://master--andrewstech.netlify.app/about/	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/about/index.html	(from https://master--andrewstech.netlify.app/)
16:22:57	2032/2032	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%224a4f39c2bcaa8f41dae4b49f7f252514-ssl-df%22	https://master--andrewstech.netlify.app/contact	C:/My%20Web%20Sites/andrewstech/master--andrewstech.netlify.app/contact.6.delayed	(from https://master--andrewstech.netlify.app/)
